Grupo de edad,Indigena,Gitano(a) o Rrom,"Raizal del Archipielago de San Andres, Providencia y Santa Catalina",Palenquero(a) de San Basilio,"Negro(a), Mulato(a), Afrodescendiente, Afrocolombiano(a)",Ningun grupo etnico,Sin informacion,Area
0-4 anios,4,0,0,0,10,502,3,cabecera
5-9 anios,3,0,0,0,6,610,1,cabecera
10-14 anios,5,0,0,0,5,766,3,cabecera
15-19 anios,11,0,0,0,12,855,5,cabecera
20-24 anios,10,1,0,0,11,804,9,cabecera
25-29 anios,7,0,0,0,8,727,6,cabecera
30-34 anios,5,0,0,0,4,660,5,cabecera
35-39 anios,3,0,0,1,8,708,3,cabecera
40-44 anios,3,0,0,0,1,624,6,cabecera
45-49 anios,5,0,0,0,7,722,2,cabecera
50-54 anios,2,0,0,0,6,719,3,cabecera
55-59 anios,3,0,0,0,0,683,0,cabecera
60-64 anios,3,0,0,0,1,543,2,cabecera
65-69 anios,2,0,0,0,3,489,2,cabecera
70-74 anios,2,0,0,0,2,370,0,cabecera
75-79 anios,0,0,0,0,2,320,0,cabecera
80-84 anios,1,0,0,0,1,193,1,cabecera
85 anios y mas,1,0,0,0,2,156,1,cabecera
0-4 anios,0,0,0,0,0,0,0,centros_poblados
5-9 anios,0,0,0,0,0,0,0,centros_poblados
10-14 anios,0,0,0,0,0,0,0,centros_poblados
15-19 anios,0,0,0,0,0,0,0,centros_poblados
20-24 anios,0,0,0,0,0,0,0,centros_poblados
25-29 anios,0,0,0,0,0,0,0,centros_poblados
30-34 anios,0,0,0,0,0,0,0,centros_poblados
35-39 anios,0,0,0,0,0,0,0,centros_poblados
40-44 anios,0,0,0,0,0,0,0,centros_poblados
45-49 anios,0,0,0,0,0,0,0,centros_poblados
50-54 anios,0,0,0,0,0,0,0,centros_poblados
55-59 anios,0,0,0,0,0,0,0,centros_poblados
60-64 anios,0,0,0,0,0,0,0,centros_poblados
65-69 anios,0,0,0,0,0,0,0,centros_poblados
70-74 anios,0,0,0,0,0,0,0,centros_poblados
75-79 anios,0,0,0,0,0,0,0,centros_poblados
80-84 anios,0,0,0,0,0,0,0,centros_poblados
85 anios y mas,0,0,0,0,0,0,0,centros_poblados
0-4 anios,13,0,0,0,0,84,0,rural_disperso
5-9 anios,7,0,0,0,0,115,0,rural_disperso
10-14 anios,16,0,0,0,0,146,0,rural_disperso
15-19 anios,12,0,0,0,1,174,0,rural_disperso
20-24 anios,8,0,0,0,1,114,0,rural_disperso
25-29 anios,10,0,0,0,0,97,0,rural_disperso
30-34 anios,6,0,0,0,0,99,0,rural_disperso
35-39 anios,7,0,0,0,0,109,1,rural_disperso
40-44 anios,6,0,0,0,0,107,0,rural_disperso
45-49 anios,5,0,0,0,0,110,1,rural_disperso
50-54 anios,3,0,0,0,0,111,2,rural_disperso
55-59 anios,0,0,0,0,2,97,0,rural_disperso
60-64 anios,3,0,0,0,2,95,1,rural_disperso
65-69 anios,3,0,0,0,0,74,0,rural_disperso
70-74 anios,0,0,0,0,1,59,0,rural_disperso
75-79 anios,3,0,0,0,1,26,0,rural_disperso
80-84 anios,0,0,0,0,0,16,0,rural_disperso
85 anios y mas,0,0,0,0,0,13,0,rural_disperso
