area,sexo,edad,asiste_a_un_hogar_comunitario_jardin_centro_de_desarrollo_infantil_o_colegio,con_su_padre_o_madre_en_la_vivienda,con_su_padre_o_madre_en_el_trabajo,en_la_vivienda_donde_vive_el_ninio_al_cuidado_de_un_pariente_o_una_persona_de_18_anios_o_mas,en_la_vivienda_donde_vive_el_ninio_al_cuidado_de_un_pariente_o_una_persona_menor_de_18_anios,al_cuidado_de_un_pariente_o_de_otra_persona_en_otro_lugar,en_la_vivienda_solo,sin_informacion
Cabecera,Hombre,0,0,49,0,3,0,0,0,0
Cabecera,Hombre,1,6,36,1,2,0,1,0,1
Cabecera,Hombre,2,34,28,0,1,0,1,0,1
Cabecera,Hombre,3,46,12,0,1,0,0,0,0
Cabecera,Hombre,4,48,12,0,0,0,0,0,1
Cabecera,Mujer,0,0,39,0,2,0,1,0,0
Cabecera,Mujer,1,8,40,0,3,0,0,0,1
Cabecera,Mujer,2,25,23,0,3,0,0,0,0
Cabecera,Mujer,3,28,15,0,1,0,1,0,0
Cabecera,Mujer,4,42,2,0,1,0,0,0,0
Rural disperso,Hombre,0,0,10,0,0,0,0,0,0
Rural disperso,Hombre,1,1,11,0,0,0,0,0,0
Rural disperso,Hombre,2,1,5,1,0,0,0,0,0
Rural disperso,Hombre,3,1,4,0,1,0,0,0,0
Rural disperso,Hombre,4,0,8,0,1,0,0,0,0
Rural disperso,Mujer,0,0,13,1,0,0,0,0,0
Rural disperso,Mujer,1,0,7,0,0,0,0,0,0
Rural disperso,Mujer,2,2,6,0,1,0,0,0,0
Rural disperso,Mujer,3,3,6,1,0,0,0,0,0
Rural disperso,Mujer,4,2,11,0,0,0,0,0,0
