Area,Grupo de edad,Hombre,Mujer,Sabe_leer_y_escribir
Cabecera,De 5 anios y mas,4263,5076,si
Cabecera,De 15 anios y mas,3666,4441,si
Cabecera,Entre 15 y 24 anios,791,885,si
Rural disperso,De 5 anios y mas,789,731,si
Rural disperso,De 15 anios y mas,652,617,si
Rural disperso,Entre 15 y 24 anios,157,147,si
Cabecera,De 5 anios y mas,382,370,no
Cabecera,De 15 anios y mas,304,289,no
Cabecera,Entre 15 y 24 anios,20,7,no
Rural disperso,De 5 anios y mas,92,46,no
Rural disperso,De 15 anios y mas,77,29,no
Rural disperso,Entre 15 y 24 anios,5,1,no
Cabecera,De 5 anios y mas,29,25,sin_informacion
Cabecera,De 15 anios y mas,24,22,sin_informacion
Cabecera,Entre 15 y 24 anios,9,6,sin_informacion
Rural disperso,De 5 anios y mas,4,2,sin_informacion
Rural disperso,De 15 anios y mas,3,2,sin_informacion
Rural disperso,Entre 15 y 24 anios,0,0,sin_informacion
