Area,Grupo de edad,Hombre,Mujer,Asiste_a_alguna_institucion_educativa
Cabecera,De 5 anios y mas,1038,1211,Si
Cabecera,Entre 5 y 6 anios,94,118,Si
Cabecera,Entre 5 y 17 anios,857,926,Si
Cabecera,Entre 7 y 11 anios,348,324,Si
Cabecera,Entre 12 y 17 anios,415,484,Si
Cabecera,Entre 18 y 24 anios,110,176,Si
Cabecera,De 25 anios y mas,71,109,Si
Rural disperso,De 5 anios y mas,213,197,Si
Rural disperso,Entre 5 y 6 anios,24,14,Si
Rural disperso,Entre 5 y 17 anios,185,155,Si
Rural disperso,Entre 7 y 11 anios,71,66,Si
Rural disperso,Entre 12 y 17 anios,90,75,Si
Rural disperso,Entre 18 y 24 anios,17,32,Si
Rural disperso,De 25 anios y mas,11,10,Si
Cabecera,De 5 anios y mas,3607,4233,No
Cabecera,Entre 5 y 6 anios,3,4,No
Cabecera,Entre 5 y 17 anios,88,59,No
Cabecera,Entre 7 y 11 anios,6,6,No
Cabecera,Entre 12 y 17 anios,79,49,No
Cabecera,Entre 18 y 24 anios,431,447,No
Cabecera,De 25 anios y mas,3088,3727,No
Rural disperso,De 5 anios y mas,668,580,No
Rural disperso,Entre 5 y 6 anios,2,1,No
Rural disperso,Entre 5 y 17 anios,33,22,No
Rural disperso,Entre 7 y 11 anios,4,2,No
Rural disperso,Entre 12 y 17 anios,27,19,No
Rural disperso,Entre 18 y 24 anios,79,70,No
Rural disperso,De 25 anios y mas,556,488,No
Cabecera,De 5 anios y mas,29,27,Sin informacion
Cabecera,Entre 5 y 6 anios,4,1,Sin informacion
Cabecera,Entre 5 y 17 anios,7,3,Sin informacion
Cabecera,Entre 7 y 11 anios,0,1,Sin informacion
Cabecera,Entre 12 y 17 anios,3,1,Sin informacion
Cabecera,Entre 18 y 24 anios,7,6,Sin informacion
Cabecera,De 25 anios y mas,15,18,Sin informacion
Rural disperso,De 5 anios y mas,4,2,Sin informacion
Rural disperso,Entre 5 y 6 anios,1,0,Sin informacion
Rural disperso,Entre 5 y 17 anios,1,0,Sin informacion
Rural disperso,Entre 7 y 11 anios,0,0,Sin informacion
Rural disperso,Entre 12 y 17 anios,0,0,Sin informacion
Rural disperso,Entre 18 y 24 anios,0,0,Sin informacion
Rural disperso,De 25 anios y mas,3,2,Sin informacion
