area,sexo,pertenencia_etnica,ninguno,preescolar,primaria_completa,primaria_incompleta,secundaria_completa,secundaria_incompleta,media_completa,media_incompleta,normal_completa,normal_incompleta,tecnico,tecnologico,universitario,especializacion_doctorado,sin_informacion
Cabecera,Hombre,Indigena,0.0,0.0,5.0,9.0,0.0,4.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Cabecera,Hombre,Gitano(a) o Rrom,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabecera,Hombre,Palenquero(a) de San Basilio,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabecera,Hombre,"Negro(a), Mulato(a), Afrodescendiente, Afrocolombiano(a)",1.0,1.0,4.0,7.0,3.0,7.0,8.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0
Cabecera,Hombre,Ningun grupo etnico,257.0,96.0,690.0,976.0,165.0,705.0,1099.0,115.0,0.0,9.0,117.0,56.0,228.0,47.0,19.0
Cabecera,Hombre,Sin Informacion ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0
Cabecera,Mujer,Indigena,2.0,0.0,8.0,6.0,2.0,6.0,8.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0
Cabecera,Mujer,"Negro(a), Mulato(a), Afrodescendiente, Afrocolombiano(a)",3.0,0.0,3.0,7.0,2.0,12.0,9.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
Cabecera,Mujer,Ningun grupo etnico,246.0,113.0,742.0,1038.0,212.0,772.0,1447.0,137.0,5.0,3.0,227.0,54.0,304.0,56.0,17.0
Cabecera,Mujer,Sin Informacion ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0
Rural disperso,Hombre,Indigena,2.0,2.0,5.0,24.0,2.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rural disperso,Hombre,"Negro(a), Mulato(a), Afrodescendiente, Afrocolombiano(a)",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rural disperso,Hombre,Ningun grupo etnico,43.0,24.0,127.0,304.0,23.0,131.0,118.0,22.0,0.0,0.0,3.0,0.0,24.0,10.0,2.0
Rural disperso,Hombre,Sin Informacion ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Rural disperso,Mujer,Indigena,4.0,2.0,8.0,12.0,2.0,2.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Rural disperso,Mujer,"Negro(a), Mulato(a), Afrodescendiente, Afrocolombiano(a)",1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rural disperso,Mujer,Ningun grupo etnico,16.0,15.0,111.0,230.0,40.0,127.0,132.0,20.0,1.0,1.0,8.0,5.0,18.0,7.0,0.0
Rural disperso,Mujer,Sin Informacion ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
