area,grupo_de_edad,hombre,mujer,indice_de_masculinidad,indice_de_feminidad
Cabecera,0 a 4,286,237,120.67510548523205,82.86713286713287
Cabecera,5 a 9,307,313,98.08306709265176,101.9543973941368
Cabecera,10 a 14,373,406,91.87192118226602,108.84718498659518
Cabecera,15 a 19,429,457,93.8730853391685,106.52680652680652
Cabecera,20 a 24,391,444,88.06306306306307,113.55498721227622
Cabecera,25 a 29,365,383,95.30026109660574,104.93150684931507
Cabecera,30 a 34,317,357,88.79551820728291,112.61829652996846
Cabecera,35 a 39,333,390,85.38461538461539,117.11711711711712
Cabecera,40 a 44,283,351,80.62678062678063,124.02826855123675
Cabecera,45 a 49,321,415,77.34939759036145,129.28348909657322
Cabecera,50 a 54,325,405,80.24691358024691,124.61538461538461
Cabecera,55 a 59,287,399,71.9298245614035,139.02439024390242
Cabecera,60 a 64,269,280,96.07142857142857,104.08921933085502
Cabecera,65 a 69,223,273,81.68498168498168,122.42152466367713
Cabecera,70 a 74,158,216,73.14814814814815,136.70886075949366
Cabecera,75 a 79,130,192,67.70833333333334,147.6923076923077
Cabecera,80 a 84,85,111,76.57657657657657,130.58823529411765
Cabecera,85 y mas,78,82,95.1219512195122,105.12820512820514
Rural disperso,0 a 4,44,53,83.01886792452831,120.45454545454545
Rural disperso,5 a 9,65,57,114.03508771929825,87.6923076923077
Rural disperso,10 a 14,88,74,118.91891891891892,84.0909090909091
Rural disperso,15 a 19,105,82,128.0487804878049,78.0952380952381
Rural disperso,20 a 24,57,66,86.36363636363636,115.78947368421053
Rural disperso,25 a 29,58,49,118.36734693877551,84.48275862068965
Rural disperso,30 a 34,43,62,69.35483870967742,144.1860465116279
Rural disperso,35 a 39,59,58,101.72413793103448,98.30508474576271
Rural disperso,40 a 44,55,58,94.82758620689656,105.45454545454544
Rural disperso,45 a 49,67,49,136.73469387755102,73.13432835820896
Rural disperso,50 a 54,58,58,100,100
Rural disperso,55 a 59,58,41,141.46341463414635,70.6896551724138
Rural disperso,60 a 64,53,48,110.41666666666667,90.56603773584906
Rural disperso,65 a 69,43,34,126.47058823529412,79.06976744186046
Rural disperso,70 a 74,35,25,140,71.42857142857143
Rural disperso,75 a 79,19,11,172.72727272727272,57.89473684210527
Rural disperso,80 a 84,13,3,433.3333333333333,23.076923076923077
Rural disperso,85 y mas,9,4,225,44.44444444444444
