area,grupo_de_edad,jefe(a)_del_hogar,pareja_(conyuge_companero(a)_esposo(a)),hijo(a),hijastro(a),yerno/nuera,padre/madre,padrastro_madrastra,suegro(a),hermano(a),hermanastro(a),cunado(a),nieto(a),abuelo(a),otro_pariente,empleado(a)_del_servicio_domestico,no_pariente
Cabecera,0 a 4,0,0,301,10,0,0,0,0,0,0,0,157,0,29,0,22
Cabecera,5 a 9,0,0,373,35,0,0,0,0,0,0,0,174,0,24,0,14
Cabecera,10 a 14,1,0,493,75,0,0,0,0,2,0,1,161,0,33,0,13
Cabecera,15 a 19,14,24,568,72,12,0,1,0,5,1,6,110,0,47,0,23
Cabecera,20 a 24,114,92,427,46,18,0,0,0,14,0,12,73,0,21,0,18
Cabecera,25 a 29,192,146,311,17,18,0,0,0,11,0,2,20,0,23,0,8
Cabecera,30 a 34,251,171,172,13,18,0,1,0,12,0,5,6,0,12,0,13
Cabecera,35 a 39,319,171,164,5,11,0,0,1,10,0,11,8,0,12,0,11
Cabecera,40 a 44,284,187,110,4,12,3,0,0,14,0,5,1,0,9,0,5
Cabecera,45 a 49,376,189,108,0,8,8,0,3,23,0,4,0,0,10,1,6
Cabecera,50 a 54,389,211,67,2,6,11,0,3,22,2,3,0,1,7,1,5
Cabecera,55 a 59,379,171,50,1,5,11,0,11,38,0,3,0,0,8,0,9
Cabecera,60 a 64,300,129,19,0,3,15,0,2,45,0,11,0,1,7,1,16
Cabecera,65 a 69,285,105,12,0,4,30,0,7,31,0,5,0,0,10,0,7
Cabecera,70 a 74,228,61,1,0,0,31,1,9,30,0,2,0,0,7,0,4
Cabecera,75 a 79,207,43,0,0,0,27,2,10,14,0,3,0,3,6,0,7
Cabecera,80 a 84,115,19,0,0,0,24,0,12,13,1,0,0,2,4,0,6
Cabecera,85 y mas,90,10,0,0,0,30,0,7,5,0,3,0,3,7,0,5
Rural disperso,0 a 4,0,0,65,3,0,0,0,0,0,0,0,21,0,3,0,5
Rural disperso,5 a 9,0,0,75,14,0,0,0,0,0,0,0,21,0,9,0,3
Rural disperso,10 a 14,0,1,110,17,0,0,2,0,0,0,0,16,0,9,0,7
Rural disperso,15 a 19,7,7,124,19,6,0,3,0,1,1,0,12,0,4,0,3
Rural disperso,20 a 24,11,26,61,10,2,0,0,0,2,1,0,5,0,2,0,3
Rural disperso,25 a 29,33,29,29,4,4,0,0,0,1,0,2,0,0,2,0,3
Rural disperso,30 a 34,27,44,20,0,1,0,1,0,3,0,2,0,0,4,2,1
Rural disperso,35 a 39,51,41,14,0,1,1,0,0,1,0,2,0,0,5,0,1
Rural disperso,40 a 44,48,44,11,0,2,0,0,0,0,0,2,0,0,2,0,4
Rural disperso,45 a 49,61,40,8,0,0,0,0,1,1,1,2,0,0,1,1,0
Rural disperso,50 a 54,62,43,4,0,1,0,0,0,0,0,2,0,0,1,0,3
Rural disperso,55 a 59,58,28,5,0,0,2,0,2,2,0,0,0,0,0,0,2
Rural disperso,60 a 64,47,37,1,0,0,2,0,3,7,0,4,0,0,0,0,0
Rural disperso,65 a 69,47,17,0,0,0,6,0,2,2,0,0,0,0,3,0,0
Rural disperso,70 a 74,39,8,0,0,0,2,0,2,4,0,2,0,0,2,0,1
Rural disperso,75 a 79,16,5,0,0,1,3,0,1,2,0,1,0,0,1,0,0
Rural disperso,80 a 84,12,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0
Rural disperso,85 y mas,6,2,0,0,0,3,0,0,0,0,0,0,0,1,0,1
