sexo,area,grupo_de_edad,jefe(a)_del_hogar,pareja_(conyuge_companero(a)_esposo(a)),hijo(a),hijastro(a),yerno/nuera,padre/madre,padrastro_madrastra,suegro(a),hermano(a),hermanastro(a),cunado(a),nieto(a),abuelo(a),otro_pariente,empleado(a)_del_servicio_domestico,no_pariente
Hombre,Cabecera,0 a 4,0,0,163,2,0,0,0,0,0,0,0,92,0,16,0,11
Hombre,Cabecera,5 a 9,0,0,197,18,0,0,0,0,0,0,0,73,0,13,0,6
Hombre,Cabecera,10 a 14,0,0,234,36,0,0,0,0,1,0,0,81,0,14,0,7
Hombre,Cabecera,15 a 19,8,0,288,26,2,0,1,0,2,1,4,61,0,25,0,11
Hombre,Cabecera,20 a 24,82,3,211,25,5,0,0,0,7,0,4,37,0,10,0,7
Hombre,Cabecera,25 a 29,129,10,168,10,11,0,0,0,7,0,1,9,0,15,0,5
Hombre,Cabecera,30 a 34,169,7,85,8,14,0,0,0,6,0,4,5,0,8,0,11
Hombre,Cabecera,35 a 39,195,16,89,2,8,0,0,0,4,0,7,4,0,2,0,6
Hombre,Cabecera,40 a 44,183,9,56,3,10,0,0,0,7,0,3,1,0,8,0,3
Hombre,Cabecera,45 a 49,220,14,57,0,6,2,0,0,11,0,3,0,0,6,0,2
Hombre,Cabecera,50 a 54,249,16,32,1,3,3,0,0,9,2,3,0,0,4,0,3
Hombre,Cabecera,55 a 59,222,17,18,0,3,2,0,3,13,0,1,0,0,2,0,6
Hombre,Cabecera,60 a 64,187,15,14,0,3,1,0,0,28,0,7,0,1,4,0,9
Hombre,Cabecera,65 a 69,174,10,5,0,4,7,0,1,12,0,2,0,0,4,0,4
Hombre,Cabecera,70 a 74,118,6,0,0,0,7,1,5,15,0,0,0,0,4,0,2
Hombre,Cabecera,75 a 79,97,6,0,0,0,3,2,4,8,0,2,0,2,3,0,3
Hombre,Cabecera,80 a 84,57,5,0,0,0,10,0,3,3,1,0,0,0,1,0,5
Hombre,Cabecera,85 y mas,47,8,0,0,0,9,0,2,2,0,2,0,3,2,0,3
Hombre,Rural disperso,0 a 4,0,0,27,1,0,0,0,0,0,0,0,12,0,3,0,1
Hombre,Rural disperso,5 a 9,0,0,40,4,0,0,0,0,0,0,0,12,0,7,0,2
Hombre,Rural disperso,10 a 14,0,0,56,13,0,0,2,0,0,0,0,7,0,6,0,4
Hombre,Rural disperso,15 a 19,7,0,67,12,2,0,0,0,1,1,0,11,0,2,0,2
Hombre,Rural disperso,20 a 24,10,0,35,6,1,0,0,0,0,0,0,2,0,1,0,2
Hombre,Rural disperso,25 a 29,31,0,19,2,3,0,0,0,0,0,1,0,0,1,0,1
Hombre,Rural disperso,30 a 34,24,0,12,0,0,0,0,0,2,0,2,0,0,3,0,0
Hombre,Rural disperso,35 a 39,43,1,7,0,0,0,0,0,1,0,2,0,0,4,0,1
Hombre,Rural disperso,40 a 44,43,0,3,0,2,0,0,0,0,0,2,0,0,2,0,3
Hombre,Rural disperso,45 a 49,56,1,6,0,0,0,0,0,1,1,1,0,0,1,0,0
Hombre,Rural disperso,50 a 54,49,1,2,0,1,0,0,0,0,0,2,0,0,0,0,3
Hombre,Rural disperso,55 a 59,51,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2
Hombre,Rural disperso,60 a 64,39,2,0,0,0,1,0,2,6,0,3,0,0,0,0,0
Hombre,Rural disperso,65 a 69,37,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0
Hombre,Rural disperso,70 a 74,27,1,0,0,0,1,0,1,1,0,2,0,0,1,0,1
Hombre,Rural disperso,75 a 79,13,0,0,0,0,1,0,1,2,0,1,0,0,1,0,0
Hombre,Rural disperso,80 a 84,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Hombre,Rural disperso,85 y mas,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
Mujer,Cabecera,0 a 4,0,0,138,8,0,0,0,0,0,0,0,65,0,13,0,11
Mujer,Cabecera,5 a 9,0,0,176,17,0,0,0,0,0,0,0,101,0,11,0,8
Mujer,Cabecera,10 a 14,1,0,259,39,0,0,0,0,1,0,1,80,0,19,0,6
Mujer,Cabecera,15 a 19,6,24,280,46,10,0,0,0,3,0,2,49,0,22,0,12
Mujer,Cabecera,20 a 24,32,89,216,21,13,0,0,0,7,0,8,36,0,11,0,11
Mujer,Cabecera,25 a 29,63,136,143,7,7,0,0,0,4,0,1,11,0,8,0,3
Mujer,Cabecera,30 a 34,82,164,87,5,4,0,1,0,6,0,1,1,0,4,0,2
Mujer,Cabecera,35 a 39,124,155,75,3,3,0,0,1,6,0,4,4,0,10,0,5
Mujer,Cabecera,40 a 44,101,178,54,1,2,3,0,0,7,0,2,0,0,1,0,2
Mujer,Cabecera,45 a 49,156,175,51,0,2,6,0,3,12,0,1,0,0,4,1,4
Mujer,Cabecera,50 a 54,140,195,35,1,3,8,0,3,13,0,0,0,1,3,1,2
Mujer,Cabecera,55 a 59,157,154,32,1,2,9,0,8,25,0,2,0,0,6,0,3
Mujer,Cabecera,60 a 64,113,114,5,0,0,14,0,2,17,0,4,0,0,3,1,7
Mujer,Cabecera,65 a 69,111,95,7,0,0,23,0,6,19,0,3,0,0,6,0,3
Mujer,Cabecera,70 a 74,110,55,1,0,0,24,0,4,15,0,2,0,0,3,0,2
Mujer,Cabecera,75 a 79,110,37,0,0,0,24,0,6,6,0,1,0,1,3,0,4
Mujer,Cabecera,80 a 84,58,14,0,0,0,14,0,9,10,0,0,0,2,3,0,1
Mujer,Cabecera,85 y mas,43,2,0,0,0,21,0,5,3,0,1,0,0,5,0,2
Mujer,Rural disperso,0 a 4,0,0,38,2,0,0,0,0,0,0,0,9,0,0,0,4
Mujer,Rural disperso,5 a 9,0,0,35,10,0,0,0,0,0,0,0,9,0,2,0,1
Mujer,Rural disperso,10 a 14,0,1,54,4,0,0,0,0,0,0,0,9,0,3,0,3
Mujer,Rural disperso,15 a 19,0,7,57,7,4,0,3,0,0,0,0,1,0,2,0,1
Mujer,Rural disperso,20 a 24,1,26,26,4,1,0,0,0,2,1,0,3,0,1,0,1
Mujer,Rural disperso,25 a 29,2,29,10,2,1,0,0,0,1,0,1,0,0,1,0,2
Mujer,Rural disperso,30 a 34,3,44,8,0,1,0,1,0,1,0,0,0,0,1,2,1
Mujer,Rural disperso,35 a 39,8,40,7,0,1,1,0,0,0,0,0,0,0,1,0,0
Mujer,Rural disperso,40 a 44,5,44,8,0,0,0,0,0,0,0,0,0,0,0,0,1
Mujer,Rural disperso,45 a 49,5,39,2,0,0,0,0,1,0,0,1,0,0,0,1,0
Mujer,Rural disperso,50 a 54,13,42,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Mujer,Rural disperso,55 a 59,7,28,1,0,0,2,0,1,2,0,0,0,0,0,0,0
Mujer,Rural disperso,60 a 64,8,35,1,0,0,1,0,1,1,0,1,0,0,0,0,0
Mujer,Rural disperso,65 a 69,10,17,0,0,0,3,0,2,1,0,0,0,0,1,0,0
Mujer,Rural disperso,70 a 74,12,7,0,0,0,1,0,1,3,0,0,0,0,1,0,0
Mujer,Rural disperso,75 a 79,3,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Mujer,Rural disperso,80 a 84,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mujer,Rural disperso,85 y mas,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
