grupo_de_edad,total,indigena,gitano(a)_o_rrom,raizal_del_archipielago_de_san_andres_providencia_y_santa_catalina,palenquero(a)_de_san_basilio,negro(a)_mulato(a)_afrodescendiente_afrocolombiano(a),ningun_grupo_etnico,sin_informacion,area
Total,12425,172,1,0,1,97,12097,57,total
0-4 anios,616,17,0,0,0,10,586,3,total
5-9 anios,742,10,0,0,0,6,725,1,total
10-14 anios,941,21,0,0,0,5,912,3,total
15-19 anios,1070,23,0,0,0,13,1029,5,total
20-24 anios,958,18,1,0,0,12,918,9,total
25-29 anios,855,17,0,0,0,8,824,6,total
30-34 anios,779,11,0,0,0,4,759,5,total
35-39 anios,840,10,0,0,1,8,817,4,total
40-44 anios,747,9,0,0,0,1,731,6,total
45-49 anios,852,10,0,0,0,7,832,3,total
50-54 anios,846,5,0,0,0,6,830,5,total
55-59 anios,785,3,0,0,0,2,780,0,total
60-64 anios,650,6,0,0,0,3,638,3,total
65-69 anios,573,5,0,0,0,3,563,2,total
70-74 anios,434,2,0,0,0,3,429,0,total
75-79 anios,352,3,0,0,0,3,346,0,total
80-84 anios,212,1,0,0,0,1,209,1,total
85 anios y mas,173,1,0,0,0,2,169,1,total
Total,10664,70,1,0,1,89,10451,52,cabecera
0-4 anios,519,4,0,0,0,10,502,3,cabecera
5-9 anios,620,3,0,0,0,6,610,1,cabecera
10-14 anios,779,5,0,0,0,5,766,3,cabecera
15-19 anios,883,11,0,0,0,12,855,5,cabecera
20-24 anios,835,10,1,0,0,11,804,9,cabecera
25-29 anios,748,7,0,0,0,8,727,6,cabecera
30-34 anios,674,5,0,0,0,4,660,5,cabecera
35-39 anios,723,3,0,0,1,8,708,3,cabecera
40-44 anios,634,3,0,0,0,1,624,6,cabecera
45-49 anios,736,5,0,0,0,7,722,2,cabecera
50-54 anios,730,2,0,0,0,6,719,3,cabecera
55-59 anios,686,3,0,0,0,0,683,0,cabecera
60-64 anios,549,3,0,0,0,1,543,2,cabecera
65-69 anios,496,2,0,0,0,3,489,2,cabecera
70-74 anios,374,2,0,0,0,2,370,0,cabecera
75-79 anios,322,0,0,0,0,2,320,0,cabecera
80-84 anios,196,1,0,0,0,1,193,1,cabecera
85 anios y mas,160,1,0,0,0,2,156,1,cabecera
Total,0,0,0,0,0,0,0,0,centros_poblados
0-4 anios,0,0,0,0,0,0,0,0,centros_poblados
5-9 anios,0,0,0,0,0,0,0,0,centros_poblados
10-14 anios,0,0,0,0,0,0,0,0,centros_poblados
15-19 anios,0,0,0,0,0,0,0,0,centros_poblados
20-24 anios,0,0,0,0,0,0,0,0,centros_poblados
25-29 anios,0,0,0,0,0,0,0,0,centros_poblados
30-34 anios,0,0,0,0,0,0,0,0,centros_poblados
35-39 anios,0,0,0,0,0,0,0,0,centros_poblados
40-44 anios,0,0,0,0,0,0,0,0,centros_poblados
45-49 anios,0,0,0,0,0,0,0,0,centros_poblados
50-54 anios,0,0,0,0,0,0,0,0,centros_poblados
55-59 anios,0,0,0,0,0,0,0,0,centros_poblados
60-64 anios,0,0,0,0,0,0,0,0,centros_poblados
65-69 anios,0,0,0,0,0,0,0,0,centros_poblados
70-74 anios,0,0,0,0,0,0,0,0,centros_poblados
75-79 anios,0,0,0,0,0,0,0,0,centros_poblados
80-84 anios,0,0,0,0,0,0,0,0,centros_poblados
85 anios y mas,0,0,0,0,0,0,0,0,centros_poblados
Total,1761,102,0,0,0,8,1646,5,rural_disperso
0-4 anios,97,13,0,0,0,0,84,0,rural_disperso
5-9 anios,122,7,0,0,0,0,115,0,rural_disperso
10-14 anios,162,16,0,0,0,0,146,0,rural_disperso
15-19 anios,187,12,0,0,0,1,174,0,rural_disperso
20-24 anios,123,8,0,0,0,1,114,0,rural_disperso
25-29 anios,107,10,0,0,0,0,97,0,rural_disperso
30-34 anios,105,6,0,0,0,0,99,0,rural_disperso
35-39 anios,117,7,0,0,0,0,109,1,rural_disperso
40-44 anios,113,6,0,0,0,0,107,0,rural_disperso
45-49 anios,116,5,0,0,0,0,110,1,rural_disperso
50-54 anios,116,3,0,0,0,0,111,2,rural_disperso
55-59 anios,99,0,0,0,0,2,97,0,rural_disperso
60-64 anios,101,3,0,0,0,2,95,1,rural_disperso
65-69 anios,77,3,0,0,0,0,74,0,rural_disperso
70-74 anios,60,0,0,0,0,1,59,0,rural_disperso
75-79 anios,30,3,0,0,0,1,26,0,rural_disperso
80-84 anios,16,0,0,0,0,0,16,0,rural_disperso
85 anios y mas,13,0,0,0,0,0,13,0,rural_disperso
