territorio_etnico,total,indigena,gitano(a)_o_rrom,raizal_del_archipielago_de_san_andrés_providencia_y_santa_catalina,palenquero(a)_de_san_basilio,negro(a)_mulato(a)_afrodescendiente_afrocolombiano(a),ningun_grupo_etnico,sin_informacion,area
Total,12425,172,1,0,1,97,12097,57,total
Territorio no etnico,12413,160,1,0,1,97,12097,57,total
Resguardo indigena,12,12,0,0,0,0,0,0,total
Total,10664,70,1,0,1,89,10451,52,cabecera
Territorio no etnico,10664,70,1,0,1,89,10451,52,cabecera
Resguardo indigena,0,0,0,0,0,0,0,0,cabecera
Total,0,0,0,0,0,0,0,0,centros_poblados
Territorio no etnico,0,0,0,0,0,0,0,0,centros_poblados
Resguardo indigena,0,0,0,0,0,0,0,0,centros_poblados
Total,1761,102,0,0,0,8,1646,5,rural_disperso
Territorio no etnico,1749,90,0,0,0,8,1646,5,rural_disperso
Resguardo indigena,12,12,0,0,0,0,0,0,rural_disperso
