sexo,grupo_de_edad,si,no,sin_informacion_enfermedad_ultimos_30_dias,total_personas_que_tuvieron_alguna_enfermedad,sin_informacion_servicio_de_salud_donde_acudieron,a_la_entidad_de_seguridad_social_en_salud_a_la_cual_esta_afliado(a),a_un_medico_particular,"a_un_boticario,farmaceuta,_droguista",a_terapias_alternativas,acudio_a_una_autoridad_indigena_espiritual,otro_medico_de_un_grupo_etnico,uso_remedios_caseros,se_autorreceto,no_hizo_nada,area
Total,Total,1218,9391,55,1218,1,1006,59,64,1,0,1,32,15,39,cabecera
Total,0-4 anios,56,460,3,56,0,43,7,4,0,0,0,2,0,0,cabecera
Total,5-9 anios,43,576,1,43,1,37,1,0,0,0,0,3,0,1,cabecera
Total,10-14 anios,38,738,3,38,0,30,0,2,0,0,0,3,2,1,cabecera
Total,15-19 anios,57,821,5,57,0,44,5,3,0,0,0,1,1,3,cabecera
Total,20-24 anios,44,781,10,44,0,32,2,4,0,0,0,1,2,3,cabecera
Total,25-29 anios,61,681,6,61,0,51,1,3,0,0,0,1,3,2,cabecera
Total,30-34 anios,69,600,5,69,0,47,7,6,0,0,0,5,0,4,cabecera
Total,35-39 anios,64,657,2,64,0,54,1,4,0,0,0,2,2,1,cabecera
Total,40-44 anios,70,557,7,70,0,61,2,3,0,0,0,2,0,2,cabecera
Total,45-49 anios,82,652,2,82,0,67,2,9,0,0,1,0,0,3,cabecera
Total,50-54 anios,91,634,5,91,0,68,7,9,0,0,0,3,0,4,cabecera
Total,55-59 anios,108,578,0,108,0,92,2,5,0,0,0,3,3,3,cabecera
Total,60-64 anios,106,440,3,106,0,87,4,6,0,0,0,3,1,5,cabecera
Total,65-69 anios,88,406,2,88,0,71,9,0,0,0,0,3,0,5,cabecera
Total,70-74 anios,71,303,0,71,0,62,2,4,1,0,0,0,1,1,cabecera
Total,75-79 anios,78,244,0,78,0,74,2,1,0,0,0,0,0,1,cabecera
Total,80-84 anios,52,144,0,52,0,49,3,0,0,0,0,0,0,0,cabecera
Total,85 anios y mas,40,119,1,40,0,37,2,1,0,0,0,0,0,0,cabecera
Hombres,Total,537,4393,28,537,1,433,25,33,0,0,0,19,6,20,cabecera
Hombres,0-4 anios,34,248,2,34,0,26,4,3,0,0,0,1,0,0,cabecera
Hombres,5-9 anios,24,282,1,24,1,19,1,0,0,0,0,2,0,1,cabecera
Hombres,10-14 anios,19,353,1,19,0,16,0,1,0,0,0,1,1,0,cabecera
