area,sexo,edad,total_personas_menores_de_5_anios,asiste_a_un_hogar_comunitario_jardin_centro_de_desarrollo_infantil_o_colegio,con_su_padre_o_madre_en_la_vivienda,con_su_padre_o_madre_en_el_trabajo,en_la_vivienda_donde_vive_el_ninio_al_cuidado_de_un_pariente_o_una_persona_de_18_anios_o_mas,en_la_vivienda_donde_vive_el_ninio_al_cuidado_de_un_pariente_o_una_persona_menor_de_18_anios,al_cuidado_de_un_pariente_o_de_otra_persona_en_otro_lugar,en_la_vivienda_solo,sin_informacion
Total Departamental,Hombre,0,62.0,0,59,0,3,0,0,0,0
Total Departamental,Hombre,1,59.0,7,47,1,2,0,1,0,1
Total Departamental,Hombre,2,72.0,35,33,1,1,0,1,0,1
Total Departamental,Hombre,3,65.0,47,16,0,2,0,0,0,0
Total Departamental,Hombre,4,70.0,48,20,0,1,0,0,0,1
Total Departamental,Hombre,Total,328.0,137,175,2,9,0,2,0,3
Total Departamental,Mujer,0,56.0,0,52,1,2,0,1,0,0
Total Departamental,Mujer,1,59.0,8,47,0,3,0,0,0,1
Total Departamental,Mujer,2,60.0,27,29,0,4,0,0,0,0
Total Departamental,Mujer,3,55.0,31,21,1,1,0,1,0,0
Total Departamental,Mujer,4,58.0,44,13,0,1,0,0,0,0
Total Departamental,Mujer,Total,288.0,110,162,2,11,0,2,0,1
Total Departamental,Total,0,118.0,0,111,1,5,0,1,0,0
Total Departamental,Total,1,118.0,15,94,1,5,0,1,0,2
Total Departamental,Total,2,132.0,62,62,1,5,0,1,0,1
Total Departamental,Total,3,120.0,78,37,1,3,0,1,0,0
Total Departamental,Total,4,128.0,92,33,0,2,0,0,0,1
Total Departamental,Total,Total,616.0,247,337,4,20,0,4,0,4
Cabecera,Hombre,0,52.0,0,49,0,3,0,0,0,0
Cabecera,Hombre,1,47.0,6,36,1,2,0,1,0,1
Cabecera,Hombre,2,65.0,34,28,0,1,0,1,0,1
Cabecera,Hombre,3,59.0,46,12,0,1,0,0,0,0
Cabecera,Hombre,4,61.0,48,12,0,0,0,0,0,1
Cabecera,Hombre,Total,284.0,134,137,1,7,0,2,0,3
Cabecera,Mujer,0,42.0,0,39,0,2,0,1,0,0
Cabecera,Mujer,1,52.0,8,40,0,3,0,0,0,1
Cabecera,Mujer,2,51.0,25,23,0,3,0,0,0,0
Cabecera,Mujer,3,45.0,28,15,0,1,0,1,0,0
Cabecera,Mujer,4,45.0,42,2,0,1,0,0,0,0
Cabecera,Mujer,Total,235.0,103,119,0,10,0,2,0,1
Cabecera,Total,0,94.0,0,88,0,5,0,1,0,0
Cabecera,Total,1,99.0,14,76,1,5,0,1,0,2
Cabecera,Total,2,116.0,59,51,0,4,0,1,0,1
Cabecera,Total,3,104.0,74,27,0,2,0,1,0,0
Cabecera,Total,4,106.0,90,14,0,1,0,0,0,1
Cabecera,Total,Total,519.0,237,256,1,17,0,4,0,4
Rural disperso,Hombre,0,10.0,0,10,0,0,0,0,0,0
Rural disperso,Hombre,1,12.0,1,11,0,0,0,0,0,0
Rural disperso,Hombre,2,7.0,1,5,1,0,0,0,0,0
Rural disperso,Hombre,3,6.0,1,4,0,1,0,0,0,0
Rural disperso,Hombre,4,9.0,0,8,0,1,0,0,0,0
Rural disperso,Hombre,Total,44.0,3,38,1,2,0,0,0,0
Rural disperso,Mujer,0,14.0,0,13,1,0,0,0,0,0
Rural disperso,Mujer,1,7.0,0,7,0,0,0,0,0,0
Rural disperso,Mujer,2,9.0,2,6,0,1,0,0,0,0
Rural disperso,Mujer,3,10.0,3,6,1,0,0,0,0,0
Rural disperso,Mujer,4,13.0,2,11,0,0,0,0,0,0
Rural disperso,Mujer,Total,53.0,7,43,2,1,0,0,0,0
Rural disperso,Total,0,24.0,0,23,1,0,0,0,0,0
Rural disperso,Total,1,19.0,1,18,0,0,0,0,0,0
Rural disperso,Total,2,16.0,3,11,1,1,0,0,0,0
Rural disperso,Total,3,16.0,4,10,1,1,0,0,0,0
Rural disperso,Total,4,22.0,2,19,0,1,0,0,0,0
Rural disperso,Total,Total,97.0,10,81,3,3,0,0,0,0
