area,grupo_de_edad,total,hombre,mujer,indice_de_masculinidad,indice_de_feminidad
Total,Total,12432.0,5889,6543,90.0045850527281,111.10545084055016
Total,0 a 4,620.0,330,290,113.79310344827587,87.87878787878788
Total,5 a 9,742.0,372,370,100.54054054054053,99.46236559139786
Total,10 a 14,941.0,461,480,96.04166666666667,104.12147505422993
Total,15 a 19,1073.0,534,539,99.07235621521335,100.93632958801497
Total,20 a 24,958.0,448,510,87.84313725490196,113.83928571428572
Total,25 a 29,855.0,423,432,97.91666666666666,102.12765957446808
Total,30 a 34,779.0,360,419,85.91885441527445,116.3888888888889
Total,35 a 39,840.0,392,448,87.5,114.28571428571428
Total,40 a 44,747.0,338,409,82.64058679706602,121.00591715976333
Total,45 a 49,852.0,388,464,83.62068965517241,119.58762886597938
Total,50 a 54,846.0,383,463,82.72138228941685,120.88772845953002
Total,55 a 59,785.0,345,440,78.4090909090909,127.53623188405795
Total,60 a 64,650.0,322,328,98.17073170731707,101.86335403726707
Total,65 a 69,573.0,266,307,86.64495114006515,115.41353383458646
Total,70 a 74,434.0,193,241,80.08298755186722,124.87046632124353
Total,75 a 79,352.0,149,203,73.39901477832512,136.24161073825502
Total,80 a 84,212.0,98,114,85.96491228070175,116.3265306122449
Total,85 y mas,173.0,87,86,101.16279069767442,98.85057471264368
Cabecera,Total,10671.0,4960,5711,86.84993871476098,115.14112903225806
Cabecera,0 a 4,523.0,286,237,120.67510548523205,82.86713286713287
Cabecera,5 a 9,620.0,307,313,98.08306709265176,101.9543973941368
Cabecera,10 a 14,779.0,373,406,91.87192118226602,108.84718498659518
Cabecera,15 a 19,886.0,429,457,93.8730853391685,106.52680652680652
Cabecera,20 a 24,835.0,391,444,88.06306306306307,113.55498721227622
Cabecera,25 a 29,748.0,365,383,95.30026109660574,104.93150684931507
Cabecera,30 a 34,674.0,317,357,88.79551820728291,112.61829652996846
Cabecera,35 a 39,723.0,333,390,85.38461538461539,117.11711711711712
Cabecera,40 a 44,634.0,283,351,80.62678062678063,124.02826855123675
Cabecera,45 a 49,736.0,321,415,77.34939759036145,129.28348909657322
Cabecera,50 a 54,730.0,325,405,80.24691358024691,124.61538461538461
Cabecera,55 a 59,686.0,287,399,71.9298245614035,139.02439024390242
Cabecera,60 a 64,549.0,269,280,96.07142857142857,104.08921933085502
Cabecera,65 a 69,496.0,223,273,81.68498168498168,122.42152466367713
Cabecera,70 a 74,374.0,158,216,73.14814814814815,136.70886075949366
Cabecera,75 a 79,322.0,130,192,67.70833333333334,147.6923076923077
Cabecera,80 a 84,196.0,85,111,76.57657657657657,130.58823529411765
Cabecera,85 y mas,160.0,78,82,95.1219512195122,105.12820512820514
Rural disperso,Total,1761.0,929,832,111.65865384615385,89.55866523143165
Rural disperso,0 a 4,97.0,44,53,83.01886792452831,120.45454545454545
Rural disperso,5 a 9,122.0,65,57,114.03508771929825,87.6923076923077
Rural disperso,10 a 14,162.0,88,74,118.91891891891892,84.0909090909091
Rural disperso,15 a 19,187.0,105,82,128.0487804878049,78.0952380952381
Rural disperso,20 a 24,123.0,57,66,86.36363636363636,115.78947368421053
Rural disperso,25 a 29,107.0,58,49,118.36734693877551,84.48275862068965
Rural disperso,30 a 34,105.0,43,62,69.35483870967742,144.1860465116279
Rural disperso,35 a 39,117.0,59,58,101.72413793103448,98.30508474576271
Rural disperso,40 a 44,113.0,55,58,94.82758620689656,105.45454545454544
Rural disperso,45 a 49,116.0,67,49,136.73469387755102,73.13432835820896
Rural disperso,50 a 54,116.0,58,58,100,100
Rural disperso,55 a 59,99.0,58,41,141.46341463414635,70.6896551724138
Rural disperso,60 a 64,101.0,53,48,110.41666666666667,90.56603773584906
Rural disperso,65 a 69,77.0,43,34,126.47058823529412,79.06976744186046
Rural disperso,70 a 74,60.0,35,25,140,71.42857142857143
Rural disperso,75 a 79,30.0,19,11,172.72727272727272,57.89473684210527
Rural disperso,80 a 84,16.0,13,3,433.3333333333333,23.076923076923077
Rural disperso,85 y mas,13.0,9,4,225,44.44444444444444
