Grupo de edad,Edad,Total,Hombre,Mujer,Area
0 a 4,0,119.0,63,56,total
0 a 4,1,120.0,60,60,total
0 a 4,2,133.0,72,61,total
0 a 4,3,120.0,65,55,total
0 a 4,4,128.0,70,58,total
0 a 4,Total grupo edad,620.0,330,290,total
5 a 9,5,128.0,64,64,total
5 a 9,6,138.0,64,74,total
5 a 9,7,161.0,85,76,total
5 a 9,8,149.0,69,80,total
5 a 9,9,166.0,90,76,total
5 a 9,Total grupo edad,742.0,372,370,total
10 a 14,10,179.0,98,81,total
10 a 14,11,173.0,87,86,total
10 a 14,12,167.0,85,82,total
10 a 14,13,212.0,96,116,total
10 a 14,14,210.0,95,115,total
10 a 14,Total grupo edad,941.0,461,480,total
15 a 19,15,219.0,114,105,total
15 a 19,16,205.0,101,104,total
15 a 19,17,230.0,123,107,total
15 a 19,18,210.0,95,115,total
15 a 19,19,209.0,101,108,total
15 a 19,Total grupo edad,1073.0,534,539,total
20 a 24,20,188.0,85,103,total
20 a 24,21,194.0,92,102,total
20 a 24,22,179.0,82,97,total
20 a 24,23,202.0,91,111,total
20 a 24,24,195.0,98,97,total
20 a 24,Total grupo edad,958.0,448,510,total
25 a 29,25,191.0,84,107,total
25 a 29,26,167.0,86,81,total
25 a 29,27,173.0,90,83,total
25 a 29,28,164.0,83,81,total
25 a 29,29,160.0,80,80,total
25 a 29,Total grupo edad,855.0,423,432,total
30 a 34,30,173.0,93,80,total
30 a 34,31,150.0,71,79,total
30 a 34,32,152.0,56,96,total
30 a 34,33,153.0,67,86,total
30 a 34,34,151.0,73,78,total
30 a 34,Total grupo edad,779.0,360,419,total
35 a 39,35,169.0,77,92,total
35 a 39,36,170.0,83,87,total
35 a 39,37,159.0,76,83,total
35 a 39,38,190.0,90,100,total
35 a 39,39,152.0,66,86,total
35 a 39,Total grupo edad,840.0,392,448,total
40 a 44,40,156.0,68,88,total
40 a 44,41,170.0,81,89,total
40 a 44,42,140.0,63,77,total
40 a 44,43,139.0,59,80,total
40 a 44,44,142.0,67,75,total
40 a 44,Total grupo edad,747.0,338,409,total
45 a 49,45,156.0,77,79,total
45 a 49,46,164.0,79,85,total
45 a 49,47,191.0,81,110,total
45 a 49,48,177.0,86,91,total
45 a 49,49,164.0,65,99,total
45 a 49,Total grupo edad,852.0,388,464,total
50 a 54,50,156.0,73,83,total
50 a 54,51,168.0,89,79,total
50 a 54,52,170.0,72,98,total
50 a 54,53,168.0,68,100,total
50 a 54,54,184.0,81,103,total
50 a 54,Total grupo edad,846.0,383,463,total
55 a 59,55,177.0,85,92,total
55 a 59,56,151.0,72,79,total
55 a 59,57,165.0,64,101,total
55 a 59,58,151.0,59,92,total
55 a 59,59,141.0,65,76,total
55 a 59,Total grupo edad,785.0,345,440,total
60 a 64,60,145.0,74,71,total
60 a 64,61,134.0,57,77,total
60 a 64,62,131.0,63,68,total
60 a 64,63,123.0,63,60,total
60 a 64,64,117.0,65,52,total
60 a 64,Total grupo edad,650.0,322,328,total
65 a 69,65,137.0,75,62,total
65 a 69,66,120.0,61,59,total
65 a 69,67,112.0,47,65,total
65 a 69,68,112.0,39,73,total
65 a 69,69,92.0,44,48,total
65 a 69,Total grupo edad,573.0,266,307,total
70 a 74,70,90.0,38,52,total
70 a 74,71,88.0,41,47,total
70 a 74,72,84.0,35,49,total
70 a 74,73,89.0,36,53,total
70 a 74,74,83.0,43,40,total
70 a 74,Total grupo edad,434.0,193,241,total
75 a 79,75,83.0,38,45,total
75 a 79,76,70.0,21,49,total
75 a 79,77,69.0,32,37,total
75 a 79,78,73.0,29,44,total
75 a 79,79,57.0,29,28,total
75 a 79,Total grupo edad,352.0,149,203,total
80 a 84,80,42.0,18,24,total
80 a 84,81,44.0,18,26,total
