area,grupo_de_edad,total,jefe(a)_del_hogar,pareja_(conyuge_companero(a)_esposo(a)),hijo(a),hijastro(a),yerno/nuera,padre/madre,padrastro_madrastra,suegro(a),hermano(a),hermanastro(a),cunado(a),nieto(a),abuelo(a),otro_pariente,empleado(a)_del_servicio_domestico,no_pariente
Total,Total,12425.0,4069,2102,3703,347,133,211,11,77,315,7,95,785,10,325,6,229
Total,0 a 4,616.0,0,0,366,13,0,0,0,0,0,0,0,178,0,32,0,27
Total,5 a 9,742.0,0,0,448,49,0,0,0,0,0,0,0,195,0,33,0,17
Total,10 a 14,941.0,1,1,603,92,0,0,2,0,2,0,1,177,0,42,0,20
Total,15 a 19,1070.0,21,31,692,91,18,0,4,0,6,2,6,122,0,51,0,26
Total,20 a 24,958.0,125,118,488,56,20,0,0,0,16,1,12,78,0,23,0,21
Total,25 a 29,855.0,225,175,340,21,22,0,0,0,12,0,4,20,0,25,0,11
Total,30 a 34,779.0,278,215,192,13,19,0,2,0,15,0,7,6,0,16,2,14
Total,35 a 39,840.0,370,212,178,5,12,1,0,1,11,0,13,8,0,17,0,12
Total,40 a 44,747.0,332,231,121,4,14,3,0,0,14,0,7,1,0,11,0,9
Total,45 a 49,852.0,437,229,116,0,8,8,0,4,24,1,6,0,0,11,2,6
Total,50 a 54,846.0,451,254,71,2,7,11,0,3,22,2,5,0,1,8,1,8
Total,55 a 59,785.0,437,199,55,1,5,13,0,13,40,0,3,0,0,8,0,11
Total,60 a 64,650.0,347,166,20,0,3,17,0,5,52,0,15,0,1,7,1,16
Total,65 a 69,573.0,332,122,12,0,4,36,0,9,33,0,5,0,0,13,0,7
Total,70 a 74,434.0,267,69,1,0,0,33,1,11,34,0,4,0,0,9,0,5
Total,75 a 79,352.0,223,48,0,0,1,30,2,11,16,0,4,0,3,7,0,7
Total,80 a 84,212.0,127,20,0,0,0,26,0,13,13,1,0,0,2,4,0,6
Total,85 y mas,173.0,96,12,0,0,0,33,0,7,5,0,3,0,3,8,0,6
Cabecera,Total,10664.0,3544,1729,3176,280,115,190,5,65,289,4,76,710,10,276,3,192
Cabecera,0 a 4,519.0,0,0,301,10,0,0,0,0,0,0,0,157,0,29,0,22
Cabecera,5 a 9,620.0,0,0,373,35,0,0,0,0,0,0,0,174,0,24,0,14
Cabecera,10 a 14,779.0,1,0,493,75,0,0,0,0,2,0,1,161,0,33,0,13
Cabecera,15 a 19,883.0,14,24,568,72,12,0,1,0,5,1,6,110,0,47,0,23
Cabecera,20 a 24,835.0,114,92,427,46,18,0,0,0,14,0,12,73,0,21,0,18
Cabecera,25 a 29,748.0,192,146,311,17,18,0,0,0,11,0,2,20,0,23,0,8
Cabecera,30 a 34,674.0,251,171,172,13,18,0,1,0,12,0,5,6,0,12,0,13
